iter	Passed	Remaining
551	3642	2956
552	3648	2949
553	3655	2942
554	3661	2935
555	3667	2928
556	3674	2922
557	3680	2915
558	3687	2909
559	3693	2902
560	3700	2895
561	3706	2888
562	3712	2881
563	3719	2875
564	3726	2868
565	3732	2862
566	3738	2855
567	3744	2848
568	3752	2842
569	3758	2835
570	3764	2828
571	3770	2821
572	3777	2814
573	3784	2808
574	3790	2801
575	3797	2795
576	3803	2788
577	3811	2782
578	3817	2775
579	3823	2768
580	3831	2762
581	3837	2756
582	3844	2749
583	3850	2742
584	3856	2735
585	3862	2729
586	3869	2722
587	3875	2715
588	3882	2708
589	3888	2702
590	3895	2695
591	3901	2688
592	3908	2682
593	3914	2675
594	3921	2669
595	3927	2662
596	3933	2655
597	3940	2648
598	3946	2642
599	3953	2635
600	3959	2628
601	3965	2622
602	3972	2615
603	3978	2608
604	3986	2602
605	3992	2595
606	4000	2589
607	4006	2583
608	4013	2576
609	4019	2569
610	4025	2562
611	4032	2556
612	4038	2549
613	4044	2542
614	4050	2535
615	4056	2528
616	4064	2522
617	4070	2515
618	4077	2509
619	4083	2502
620	4089	2495
621	4096	2489
622	4102	2482
623	4109	2476
624	4115	2469
625	4122	2462
626	4128	2456
627	4135	2449
628	4141	2443
629	4148	2436
630	4155	2429
631	4161	2423
632	4167	2416
633	4174	2409
634	4180	2403
635	4187	2396
636	4193	2389
637	4199	2383
638	4207	2376
639	4213	2370
640	4220	2363
641	4226	2356
642	4232	2349
643	4239	2343
644	4245	2336
645	4252	2330
646	4258	2323
647	4265	2316
648	4271	2310
649	4277	2303
650	4284	2296
651	4290	2290
652	4297	2283
653	4303	2276
654	4309	2269
655	4315	2263
656	4322	2256
657	4328	2249
658	4334	2242
659	4340	2235
660	4346	2228
661	4352	2222
662	4365	2218
663	4371	2212
664	4378	2205
665	4384	2198
666	4391	2192
667	4397	2185
668	4404	2179
669	4410	2172
670	4416	2165
671	4423	2158
672	4429	2152
673	4435	2145
674	4441	2138
675	4448	2131
676	4454	2125
677	4460	2118
678	4467	2112
679	4473	2105
680	4479	2098
681	4486	2091
682	4492	2085
683	4499	2078
684	4505	2071
685	4512	2065
686	4518	2058
687	4524	2052
688	4532	2045
689	4538	2038
690	4544	2032
691	4550	2025
692	4556	2018
693	4563	2012
694	4569	2005
695	4575	1998
696	4582	1992
697	4588	1985
698	4595	1978
699	4601	1972
700	4608	1965
701	4614	1958
702	4621	1952
703	4627	1945
704	4633	1938
705	4641	1933
706	4647	1926
707	4654	1919
708	4660	1912
709	4666	1906
710	4672	1899
711	4679	1892
712	4685	1886
713	4691	1879
714	4697	1872
715	4704	1865
716	4710	1859
717	4717	1852
718	4723	1846
719	4729	1839
720	4736	1832
721	4742	1825
722	4749	1819
723	4755	1812
724	4762	1806
725	4768	1799
726	4774	1792
727	4780	1786
728	4787	1779
729	4794	1773
730	4801	1766
731	4808	1760
732	4814	1753
733	4820	1746
734	4827	1740
735	4833	1733
736	4839	1727
737	4846	1720
738	4852	1713
739	4893	1719
740	4902	1713
741	4912	1708
742	4923	1703
743	4961	1707
744	4967	1700
745	4980	1695
746	4989	1689
747	4996	1683
748	5004	1676
749	5010	1670
750	5017	1663
751	5023	1656
752	5029	1649
753	5036	1643
754	5042	1636
755	5050	1630
756	5056	1623
757	5062	1616
758	5069	1609
759	5075	1602
760	5081	1596
761	5087	1589
762	5094	1582
763	5101	1575
764	5107	1568
765	5113	1562
766	5120	1555
767	5126	1548
768	5132	1541
769	5138	1534
770	5145	1528
771	5151	1521
772	5158	1514
773	5163	1507
774	5170	1501
775	5176	1494
776	5183	1487
777	5190	1481
778	5196	1474
779	5202	1467
780	5209	1460
781	5216	1454
782	5223	1447
783	5229	1440
784	5236	1434
785	5242	1427
786	5248	1420
787	5254	1413
788	5260	1406
789	5267	1400
790	5274	1393
791	5280	1386
792	5286	1380
793	5293	1373
794	5300	1366
795	5306	1359
796	5312	1353
797	5319	1346
798	5325	1339
799	5332	1333
800	5338	1326
801	5345	1319
802	5351	1312
803	5357	1305
804	5363	1299
805	5369	1292
806	5376	1285
807	5382	1279
808	5389	1272
809	5396	1265
810	5402	1258
811	5410	1252
812	5416	1245
813	5423	1239
814	5429	1232
815	5436	1225
816	5442	1219
817	5448	1212
818	5456	1205
819	5462	1199
820	5469	1192
821	5475	1185
822	5481	1178
823	5487	1172
824	5494	1165
825	5501	1158
826	5507	1152
827	5513	1145
828	5520	1138
829	5526	1131
830	5533	1125
831	5540	1118
832	5546	1111
833	5552	1105
834	5558	1098
835	5565	1091
836	5571	1085
837	5578	1078
838	5585	1071
839	5591	1065
840	5598	1058
841	5604	1051
842	5612	1045
843	5618	1038
844	5624	1031
845	5630	1024
846	5637	1018
847	5643	1011
848	5649	1004
849	5658	998
850	5665	991
851	5672	985
852	5678	978
853	5684	971
854	5690	965
855	5696	958
856	5703	951
857	5709	944
858	5715	938
859	5721	931
860	5727	924
861	5734	918
862	5741	911
863	5746	904
864	5753	897
865	5759	891
866	5766	884
867	5772	877
868	5779	871
869	5785	864
870	5792	857
871	5798	851
872	5805	844
873	5811	837
874	5817	831
875	5823	824
876	5830	817
877	5836	810
878	5843	804
879	5849	797
880	5855	790
881	5861	784
882	5868	777
883	5875	770
884	5881	764
885	5887	757
886	5893	750
887	5899	744
888	5906	737
889	5912	730
890	5919	724
891	5925	717
892	5931	710
893	5937	704
894	5944	697
895	5950	690
896	5956	684
897	5962	677
898	5969	670
899	5976	664
900	5984	657
901	5990	650
902	5997	644
903	6003	637
904	6009	630
905	6016	624
906	6022	617
907	6029	610
908	6035	604
909	6042	597
910	6048	590
911	6054	584
912	6061	577
913	6068	570
914	6074	564
